UPC,Item_Number,Quantity_NC,Quantity_AZ,Total,Dealer Price,Sale Price
043125015108,B14LM658,0,0,0,1039.99,
043125016655,B14LM751,0,0,0,1424.67,
043125015313,B14R001,0,0,0,889.99,
043125015320,B14R002,3,7,10,949.99,
043125016228,B14S001C,6,0,6,809.99,
043125016235,B14S002C,4,0,4,809.99,
043125016242,B14S003C,2,1,3,809.99,
043125015764,B14S101C,0,1,1,684.99,
043125015757,B14S102C,6,0,6,684.99,
043125015856,B14S103C,2,3,5,684.99,
043125015863,B14S104C,0,0,0,684.99,
043125015290,B14S112,9,2,11,754.99,
043125016082,B14S351C,2,0,2,884.99,
043125016099,B14S351LC,6,6,12,909.99,
043125015740,B14S352C,4,0,4,884.99,
043125016105,B14S352LC,8,2,10,909.99,
043125016112,B14S354C,0,0,0,884.99,
043125016136,B14S356C,7,0,7,884.99,
043125015726,B14S359C,4,1,5,929.99,
043125016143,B14S371CF,5,1,6,1369.99,
043125015252,B14S382,1,0,1,979.99,
043125016167,B14S382CF,5,2,7,1369.99,
043125015719,B14S501C,11,3,14,734.99,
043125015771,B14S502C,7,4,11,734.99,
043125015917,B14S503C,2,4,6,734.99,
043125015924,B14S504C,0,0,0,734.99,
043125015788,B14S507C,2,2,4,734.99,
043125015733,B14S509C,3,0,3,734.99,
043125015962,B14S511C,10,1,11,734.99,
043125015979,B14S512C,7,2,9,734.99,
043125015993,B14S521CF,7,2,9,1229.99,
043125015276,B14S522,1,2,3,814.99,
043125016020,B14S522CF,2,0,2,1229.99,
043125015214,B14S651,3,0,3,979.99,
043125015221,B14S652,5,4,9,979.99,
043125016679,B14S751,4,4,8,1424.67,
043125016693,B14S752,8,8,16,1424.67,
043125015207,B14SM359,3,0,3,1039.99,
043125016181,B14SM359CF,0,0,0,1429.99,
043125015238,B14SM519,0,0,0,814.99,
043125016037,B14SM519CF,0,0,0,1229.99,
043125015191,B14SM659,2,1,3,1039.99,
043125016716,B14SM759,0,0,0,1424.67,
043125110087,BMR001,14,6,20,469.99,
043125110094,BMR002,0,0,0,539.99,
043125110100,BMR003,0,2,2,469.99,
043125110117,BMR004,0,0,0,539.99,
043125110131,BMR005,9,4,13,469.99,
043125110148,BMR006,0,0,0,539.99,
043125308286,BPR20-308MC,0,0,0,1379.99,
043125065103,BPR20-65MC,12,17,29,1379.99,
043125065172,BPR20-65MCHB,0,0,0,1379.99,
043125250011,BPR20-250MC,0,0,0,1379.99,
043125300181,BPR20-300MC,1,5,6,1379.99,
043125300235,BPR20-300PRCMC,0,0,0,1439.99,
043125065165,BPR20-65PRC,3,7,10,1439.99,
043125280070,BPR26-28N,0,0,0,1989.99,
043125300433,BPR26-300PRC,0,0,0,1989.99,
043125300426,BPR26-300WM,0,0,0,1939.99,
043125308156,BPR26-308,0,0,0,1939.99,
043125375004,BPR26-375HH,0,0,0,1989.99,
043125065431,BPR26-65CM,0,0,0,1939.99,
043125065448,BPR26-65PRC,0,0,0,1989.99,
043125300358,BPR28-300WM,0,0,0,1729.99,
043125065301,BPR28-65,1,1,2,1729.99,
043125065349,BPR28-65PRC,2,3,5,1789.99,
043125300419,BPR34-300WM,0,0,0,2348.99,
043125308149,BPR34-308,0,0,0,2349.99,
043125065417,BPR34-65CM,0,0,0,2349.99,
043125065424,BPR34-65PRC,0,0,0,2399.99,
043125300457,BPR37-300WM,0,0,0,2585.48,
043125308002,BPR37-308,1,0,1,2585.48,
043125065455,BPR37-65CM,0,0,0,2585.48,
043125065462,BPR37-65PRC,0,0,0,2640.91,
043125110025,BXR001,0,0,0,469.99,
043125110032,BXR002,0,0,0,539.99,
043125000111,BA0002,0,0,0,27.99,
043125000432,BA0016,0,0,0,29.99,
043125065127,BPR22-65F,4,6,10,1799.99,1549.99
810083202044,BP9DTCC,35,18,53,264.99,
810083202037,BP9MCC,17,27,44,264.99,
810083202273,BP9MCCL,0,0,0,344.99,
810083202167,BP90DCC,26,15,41,264.99,
810083202129,BP9PBCC,61,42,103,274.99,
810083202136,BP9PCHCC,0,0,0,274.99,
810083202143,BP9RGCC,13,71,84,274.99,
810083201511,T22DT,25,10,35,244.99,
810083201504,T22M,25,13,38,244.99,
810083201528,T22NKL,30,22,52,254.99,
810083200101,T380BLM8,35,27,62,244.99,
810083200057,T380DT8,0,25,25,244.99,
810083200033,T380M8,12,1,13,244.99,
810083200279,T380M8X,0,0,0,249.99,
810083200361,T380MC,8,4,12,249.99,
810083200040,T380NKL8,11,7,18,254.99,
810083200255,T380PB8,19,47,66,249.99,
810083200439,T380PCH8,37,62,99,249.99,
810083200316,T380PM15X,0,0,0,309.99,
810083200194,THUN380PMC15,32,25,57,304.99,
810083200095,T380PNK8,12,17,29,244.99,
810083200088,T380PRP8,0,0,0,244.99,
810083200262,T380RG8,19,36,55,249.99,
810083200224,THUN380MLTCC,8,10,18,249.99,
810083200163,THUN380PM15,0,0,0,294.99,
810083200170,THUN380PNKL15,0,0,0,314.99,
810083200118,TPR380M,0,0,0,249.99,
810083200446,TPR380PM,10,0,10,299.99,
810083202051,TPR9CM,0,0,0,369.99,
810083202006,TPR9M,10,25,35,369.99,
810083202020,TPR9XT,0,0,0,654.99,
718356159241,BAR15RMFT,15,8,23,609.99,
091664910958,BP9CCMAG,5,2,7,39.99,
810083204321,THUN22BLMAG,0,0,0,,
810083204222,THUN380BLMAG,0,0,0,,
810083204215,THUN380BLMAGFB,20,5,25,,
810083204239,THUN380BLMAGFR,9,0,9,,
091664903929,THUN380DLXBLMAG,0,0,0,31.99,
810083204246,THUN380PM15MAG,0,0,0,,
810083204291,THUN45UCMMAG,13,6,19,,
810083204307,THUN9MHCMAG,1,1,2,,
810083204277,THUN9UCM13MAG,0,0,0,,
648018010811,40IP05BK,4,4,8,15.99,
648018010934,40TP03BK,5,3,8,12.99,
648018010941,40TP04BK,5,3,8,12.99,
648018012877,410500BK-R,0,2,2,32.99,
648018012884,410501BK-R,3,2,5,32.99,
648018013850,410502BK-L,0,0,0,32.99,
648018012891,410502BK-R,13,6,19,32.99,29.99
648018013010,410503BK-R,3,3,6,32.99,
648018013126,410507BK-R,3,3,6,32.99,
648018127267,410510PBK,3,4,7,20.99,
648018014901,410513BK-R,6,2,8,32.99,
648018058059,410525BK-R,3,2,5,32.99,
604544616439,410561BK-R,4,3,7,32.99,
648018219764,410563BK-R,5,4,9,32.99,
604544616248,410568BK-R,3,4,7,32.99,
604544671094,410570BK-R,5,4,9,32.99,
604544671100,410576BK-R,10,4,14,32.99,
