Item #, Item Description, MSP, Retail Price, Dealer Price, Sale Price, Sale Ends, Quantity, UPC Code, Manufacturer, Gun Type, Model Series, Caliber, Action, Capacity, Finish,Stock, Sights, Barrel Length, Overall Length, Features
034009118,BRN BLR LTWT PG 308 LVR RFL,$889.00,$1199.99,$889.00,,,0,#023614250043#,Browning,Rifle: Lever Action,BLR,308,Lever Action,4+1,Polished Blue,Walnut/ Gloss/ Checkered/ with Pistol Grip,Adjustable Rear/ Ft: Gold Bead Ramp,20,40,Crowned Muzzle/ Detachable Box Magazine
034009126,BRN BLR LTWT PG 30-06 LVR RFL,$929.00,$1249.99,$929.00,,,0,#023614249986#,Browning,Rifle: Lever Action,BLR,30-06,Lever Action,4+1,Polished Blue,Walnut/ Gloss/ Checkered/ with Pistol Grip,Adjustable Rear/ Ft: Gold Bead Ramp,22,43,Crowned Muzzle/ Detachable Box Magazine
034009129,BRN BLR LTWT PG 300 LVR RFL,$929.00,$1249.99,$929.00,,,0,#023614250005#,Browning,Rifle: Lever Action,BLR,300,Lever Action,3+1,Polished Blue,Walnut/ Gloss/ Checkered/ with Pistol Grip,Adjustable Rear/ Ft: Gold Bead Ramp,24,45.00,Crowned Muzzle/ Detachable Box Magazine
034015129,BRN BLR LTWT 81 TD RFL 300 SS,$1099.00,$1479.99,$1099.00,,,0,#023614259701#,Browning,Rifle: Lever Action,BLR,300,Lever Action,3+1,Satin Nickel,Satin Finish Gray Laminate Checkered Wood,Adjustable Rear Ft: Truglo Marble Fiber Optic,24,45,Detachable Box Magazine/ Drilled & Tapped
034015118,BRN BLR LTWT 81 TD RFL 308 SS,$1049.00,$1399.99,$1049.00,,,0,#023614259602#,Browning,Rifle: Lever Action,BLR,308,Lever Action,4+1,Satin Nickel,Satin Finish Gray Laminate Checkered Wood,Adjustable Rear Ft: Truglo Marble Fiber Optic,20,40,Detachable Box Magazine/ Drilled & Tapped
034015182,BRN BLR LTWT 81 TD R 6.5CR SS,$1049.00,$1399.99,$1049.00,,,0,#023614741527#,Browning,Rifle: Lever Action,BLR,6.5 Creedmoor,Lever Action,4+1,Satin Nickel,Satin Finish Gray Laminate Checkered Wood,Adjustable Rear Ft: Truglo Marble Fiber Optic,20,40,Detachable Box Magazine/ Drilled & Tapped
034018182,BRN BLR LTWT PG RFL 6.5CR SS,$949.00,$1279.99,$949.00,,,0,#023614741541#,Browning,Rifle: Lever Action,BLR,6.5 Creedmoor,Lever Action,4+1,Satin Nickel,Gloss Finish/ Grade I Black Walnut,Adjustable Rear Ft: Gold Bead Ramp,20 Stainless,40,Detachable Box Magazine/ Drilled & Tapped
034018118,BRN BLR LTWT PG RFL 308 SS 20B,$949.00,$1279.99,$949.00,,,0,#023614066620#,Browning,Rifle: Lever Action,BLR,308,Lever Action,4+1,Satin Nickel,Gloss Finish/ Grade I Black Walnut,Adjustable Rear Ft: Gold Bead Ramp,20 Stainless,40,Detachable Box Magazine/ Drilled & Tapped
021001102,BRN SA-22 22LR SEMI GRD I,$589.00,$799.99,$589.00,,,0,#023614025559#,Browning,Rifle: Semi-Auto,SA-22,22LR,Semi-Automatic,10+1,Blue,High Gloss Walnut,Open Sights,19.25,37,Tubular Magazine in Buttstock
021023102,BRN SA-22 22LR SEMI GRD II OCT,$839.00,$1129.99,$839.00,,,0,#023614736592#,Browning,Rifle: Semi-Auto,SA-22,22LR,Semi-Automatic,10+1,Blue,Grade II/III Gloss Finish Black Walnut,Open Sights,19.25,37,Tubular Magazine in Buttstock
021002102,BRN SA-22 22LR SEMI GRD VI B,$1349.00,$1799.99,$1349.00,,,0,#023614824831#,Browning,Rifle: Semi-Auto,SA-22,22LR,Semi-Automatic,10+1,Blue,Hi-Gloss Checkered Walnut Hi-Grade,Open Sights,19.375,37,Tubular Magazine/ Take Down
021003102,BRN SA-22 22LR SEMI GRD VI GRY,$1349.00,$1799.99,$1349.00,,,0,#023614824848#,Browning,Rifle: Semi-Auto,SA-22,22LR,Semi-Automatic,10+1,Blue,Grade III/IV Gloss Finish Black Walnut,Open Sights,19.375,37,Tubular Magazine/ Take Down
025175202,BRN T-BOLT RFL 22LR B,$599.00,$799.99,$599.00,,,0,#023614252733#,Browning,Rifle: Bolt Action,T-Bolt,22LR,Bolt Action,10+1,Blue,Satin Finish Walnut/ Checkered,No Sights,22 Semi-Match Chamber/ Recessed Crown,40.25,Gold-colored Trigger/ Sling Swivel Studs
025253202,BRN T-BOLT TRGT SR RFL 22LR TB,$699.00,$939.99,$699.00,,,0,#023614856375#,Browning,Rifle: Bolt Action,T-Bolt,22LR,Bolt Action,10+1,Matte Blue,Satin Finish Grade I Walnut/ Checkered,No Sights,20 Heavy Bull Target Barrel/ Threaded 1/2-28,40.25,Sling Swivel Studs/ Suppressor Ready
025252202,BRN T-BOLT TRGT SR MPL 22LR TB,$679.00,$899.00,$679.00,,,0,#023614856986#,Browning,Rifle: Bolt Action,T-Bolt,22LR,Bolt Action,10+1,Matte Blue,Gloss Finished AAA Maple/ Checkered,No Sights,20 Heavy Bull Target Barrel/ Threaded 1/2-28,40.25,Sling Swivel Studs/ Suppressor Ready
025253204,BRN T-BOLT TRGT SR RFL 22M SS,$729.00,$979.99,$729.00,,,0,#023614856382#,Browning,Rifle: Bolt Action,T-Bolt,22M,Bolt Action,10+1,MAtte Blue,Satin Finish Grade I Walnut/ Checkered,No Sights,20 Heavy Bull Target Barrel/ Threaded 1/2-28,40.25,Sling Swivel Studs/ Suppressor Ready
025253270,BRN T-BOLT TRGT SR 17HMR TB,$729.00,$979.99,$729.00,,,0,#023614856399#,Browning,Rifle: Bolt Action,T-Bolt,17HMR,Bolt Action,10+1,Matte Blue,Satin Finish Grade I Walnut/ Checkered,No Sights,20 Heavy Bull Target Barrel/ Threaded 1/2-28,40.25,Sling Swivel Studs/ Suppressor Ready
025175270,BRN T-BOLT SPRTR RFL 17HMR B,$629.00,$849.99,$629.00,,,0,#023614257943#,Browning,Rifle: Bolt Action,T-Bolt,17HMR,Bolt Action,10+1,Blue,Satin Finish Walnut/ Checkered,No Sights,22 Semi-Match Chamber/ Recessed Crown,40.25,Gold-Colored Trigger/ Sling Swivel Studs
