I,UPC
21810,764503047886
21811,764503992353
21815,764503992650
21816,764503993053
21821,764503991264
21827,764503993534
21829,764503019241
21830,764503993886
21832,764503993251
21834,764503295058
21851,736676037520
22044,048702006708
22045,048702006692
22046,048702007002
22047,048702007019
22048,048702007378
22060,023614442844
22061,023614442820
22173,813393019685
22174,813393019692
22175,813393019708
22203,855148002603
22205,855148002641
22206,854026005484
22208,854026005491
22250,048702006715
22347,736676401017
22348,736676401031
22349,736676401185
22350,048702006685
22386,062654300004
22456,815648021962
22476,736676086351
22488,062654400001
22499,736676086399
22500,736676086337
22617,736676037506
22647,851799004508
22648,851799004515
22649,851799004157
22650,851799004553
22651,851799004461
22652,851799004478
22671,815604018562
22672,815604019538
22706,048702006845
22710,048702007125
22735,619835110039
22736,619835110022
22737,619835011169
22738,619835011176
22739,619835016508
22815,764503914683
22816,851799004805
22817,851799004836
22818,851799004928
22819,851799004911
22820,851799004904
22963,023614443162
22978,023614443155
22981,023614443186
22983,023614443179
22988,023614443148
22990,023614443131
23008,023614442868
23026,023614442905
23028,023614442813
23031,023614439738
23032,023614439745
23035,023614439752
23047,023614439783
23048,023614439790
23050,023614439806
23051,023614439813
23052,806703061306
23067,023614443537
23068,023614444015
23069,023614444039
23071,023614444008
23076,023614443728
23077,023614443735
23086,023614443742
23087,023614443766
23088,023614443759
23089,023614443773
23164,023614245889
23165,023614245872
23241,723364211386
23246,723364211140
23309,815604018487
23322,015813506595
23341,015813277846
23405,015813278737
23409,015813278744
23418,015813278751
23420,884110757920
23498,640832000375
23504,082442816371
23505,082442816838
23920,661120001270
23970,022188869385
23979,022188869187
23980,022188868005
23981,022188868012
23982,022188141597
23983,022188141566
23984,022188145175
23985,022188145144
23986,022188145151
23987,022188141573
23989,022188141580
23992,022188865813
23999,851799004935
24002,022188870169
24004,022188870220
24005,022188870008
24006,022188701708
24007,022188703498
24008,022188866360
24009,022188703481
24010,022188868036
24021,022188869392
24037,022188869231
24038,022188869057
24039,022188869156
24040,022188869248
24041,022188869064
24042,022188869224
24043,022188869750
24044,645221003012
24047,847313011435
24048,847313011459
24108,736676085064
24145,062654451003
24146,062654962097
24147,062654962226
24148,062654952005
24150,062654292002
24151,062654918001
24152,062654932007
24153,062654917004
24154,062654947001
24155,062654907005
24156,062654957000
24162,062654967092
24175,062654967009
24177,062654967122
24178,062654967030
24186,062654967115
24187,062654967016
24188,062654967177
24207,752334099914
24245,062654967054
24246,062654962004
24307,062654170003
24310,706397906634
24311,706397906641
24312,706397913113
24313,706397913120
24314,706397913137
24315,706397913144
24317,706397913151
24318,706397913168
24319,706397913175
24320,706397919597
24321,062654607028
24324,706397919511
24326,706397919535
24334,062654289002
24344,619835011206
24347,619835016386
24349,619835060419
24350,619835060426
24351,619835060433
24352,619835060440
24356,619835200143
24358,619835200150
24359,619835200167
24362,619835300034
24363,619835300041
24364,619835300058
24370,619835400062
24371,619835400079
24372,619835400031
24373,619835400024
24376,619835400017
24378,619835400086
24381,619835400048
24382,619835400055
24383,619835400093
24384,619835400109
24385,619835400116
24386,619835400123
24387,619835400130
24409,747115427376
24411,747115431557
24414,747115427390
24416,747115431564
24445,062654267000
24466,845737005399
24467,845737005405
24563,062654287008
24667,062654247002
24668,062654288005
24669,062654268007
24708,062654702006
24709,062654702013
24710,062654702020
24711,062654702037
24712,062654705007
24714,062654705014
24715,062654705021
24716,062654705038
24717,062654708008
24718,062654708015
24719,062654708022
24720,062654708039
24721,062654137839
24722,011356229021
24723,011356229038
24724,011356229045
24725,011356229052
24726,011356221544
24728,011356221551
24729,011356221568
24730,011356225924
24731,098289111401
24732,011356225948
24733,011356225955
24745,602686211048
24746,602686221047
24751,602686251136
24754,761226088042
24755,761226088028
24756,761226087700
24757,761226088110
24758,761226088127
24760,761226088035
24764,761226087922
24771,761226088233
24772,761226088240
24773,761226088325
24775,761226083603
24776,761226083641
24838,062654207006
24839,062654507014
24840,062654607035
24841,062654507021
24862,806703065786
24863,806703065748
24864,806703065762
24865,736676067367
24882,856304004387
24894,062654257001
24895,062654267024
24897,062654267246
24905,741566600678
24914,048702006678
24999,098289111388
25027,098289111210
25040,098289111227
25071,082442188812
25072,082442188744
25080,098289111364
25081,098289111357
25086,847313012357
25329,082442874524
25331,082442874517
25355,082442874500
25387,082442875620
25388,082442875644
