itemNumber,upc,mfgModelNumber,quantity,allocated,onSale,price,currentPrice,retailMap
BGBPR26-308,043125308156,BPR26-308,0,False,False,1912.5,1912.5,2249.99
CN8010618500,696528091455,801-06185-00,1,False,False,2259.99,2259.99,2549.99
BR011-430205,023614849285,011430205,0,False,False,1039.0,1039.0,0.0
BGBPR26-65PRC,043125065448,BPR26-65PRC,0,False,False,1967.93,1967.93,2299.99
CN8010305200,696528092797,801-03052-00,0,False,False,1771.99,1771.99,0.0
CN8010305300,696528092810,801-03053-00,0,False,False,1771.99,1771.99,0.0
CN8010307000,696528092957,801-03070-00,0,False,False,2126.99,2126.99,2399.99
CN8010307100,696528092995,801-03071-00,0,False,False,2126.99,2126.99,2399.99
CN8010620600,696528091738,801-06206-00,2,False,False,2347.99,2347.99,2649.99
CN8010621300,696528091820,801-06213-00,2,False,False,2347.99,2347.99,2649.99
CN8100001900,691328232688,810-00019-00,8,False,False,37.99,37.99,49.99
SYDVG-1CBSB,810099571639,DVG-1CBSB,19,False,False,194.0,194.0,0.0
TRTM42450C30007,719307403437,TM42450-C-3000007,1,False,False,1145.17,1145.17,0.0
TRHUNTER-24-2,719307802612,HUNTER-24-2,3,False,False,5690.0,5690.0,6694.0
CN8010305000,696528092759,801-03050-00,0,False,False,1682.99,1682.99,0.0
WI535771296,048702022760,535771296,0,False,False,529.0,529.0,0.0
CN8010620300,696528091707,801-06203-00,0,False,False,2126.99,2126.99,2399.99
CN8010613600,696528090908,801-06136-00,2,False,False,2037.99,2037.99,2299.99
CN8010615000,696528091042,801-06150-00,2,False,False,2037.99,2037.99,2299.99
CN8010615700,696528091141,801-06157-00,3,False,False,2037.99,2037.99,2299.99
CN8010615800,696528091158,801-06158-00,0,False,False,2037.99,2037.99,2299.99
CN8010613500,696528090892,801-06135-00,2,False,False,2037.99,2037.99,2299.99
CN8010111800,691328238604,801-01118-00,2,False,False,1558.99,1558.99,1799.99
CN8010616000,696528091172,801-06160-00,0,False,False,2037.99,2037.99,2299.99
CN8010616200,696528091196,801-06162-00,2,False,False,2037.99,2037.99,2299.99
CN8010617900,696528091370,801-06179-00,2,False,False,2259.99,2259.99,2549.99
CN8010620400,696528091714,801-06204-00,2,False,False,2126.99,2126.99,2399.99
CN8010304800,696528092711,801-03048-00,0,False,False,1682.99,1682.99,0.0
CN8010111500,691328238574,801-01115-00,1,False,False,1558.99,1558.99,1799.99
BR011-8475005,023614997269,0118475005,0,True,False,1759.0,1759.0,0.0
BGBPR26-300PRC,043125300433,BPR26-300PRC,0,False,False,1967.93,1967.93,2299.99
BGBPR26-28N,043125280070,BPR26-28N,0,False,False,1967.93,1967.93,2299.99
BGBPR26-375HH,043125375004,BPR26-375HH,0,False,False,1967.93,1967.93,2299.99
BGBPR34-65CM,043125065417,BPR34-65CM,0,False,False,2328.26,2328.26,2699.99
BGBPR34-308,043125308149,BPR34-308,0,False,False,2328.26,2328.26,2699.99
BGBPR34-65PRC,043125065424,BPR34-65PRC,0,False,False,2383.7,2383.7,2749.99
BGBPR34-300WM,043125300419,BPR34-300WM,0,False,False,2328.26,2328.26,2699.99
WI535737299,048702023224,535737299,0,True,False,639.0,639.0,0.0
BR011-428205,023614743255,011428205,0,False,False,1039.0,1039.0,0.0
BR011-746204,023614853299,011746204,0,True,False,1529.0,1529.0,0.0
BR011-8475004,023614997276,0118475004,0,True,False,1759.0,1759.0,0.0
BR011-9005005,023614997245,0119005005,0,True,False,1759.0,1759.0,0.0
FP12061,810065120618,12061,20,False,False,345.0,345.0,0.0
BR011-9125004,023614853237,0119125004,0,True,False,1579.0,1579.0,0.0
BR011-8255005,023614997344,0118255005,0,True,False,1579.0,1579.0,0.0
BR011-8255004,023614997351,0118255004,0,True,False,1579.0,1579.0,0.0
BR011-9112004,023614853176,0119112004,0,True,False,1699.0,1699.0,0.0
BR011-9122004,023614853213,0119122004,0,True,False,1529.0,1529.0,0.0
BR011-747205,023614853268,011747205,0,True,False,1669.0,1669.0,0.0
