UPC,D-Q,D-P,D-SP,S-Q,S-P,Z-P,Z-Q,L-Q,L-P,Best Price,Best Price Vendor,Best Price Quantity
816740004310,0,,,0,,37.8,0,0,,37.8,Zanders,0
816740004341,0,,,0,,32.7,14,0,,32.7,Zanders,14
816740004358,0,,,0,,32.7,8,0,,32.7,Zanders,8
816740004365,0,,,0,,61.56,0,0,,61.56,Zanders,0
816740004433,0,,,0,,151.2,4,0,,151.2,Zanders,4
816740044019,0,,,0,,60.6,2,0,,60.6,Zanders,2
816740002019,0,,,0,,13.8,0,0,,13.8,Zanders,0
816740002002,0,,,0,,26.4,0,0,,26.4,Zanders,0
816740002118,0,,,0,,41.7,0,0,,41.7,Zanders,0
816740002170,0,,,0,,11.4,11,0,,11.4,Zanders,11
816740002156,0,,,0,,15.0,0,0,,15.0,Zanders,0
816740002163,0,,,0,,11.4,3,0,,11.4,Zanders,3
816740002217,0,,,0,,12.6,67,0,,12.6,Zanders,67
085992200898,0,,,0,,11.52,0,0,,11.52,Zanders,0
085992200904,0,,,0,,11.52,0,0,,11.52,Zanders,0
085992200591,0,,,0,,9.79,0,0,,9.79,Zanders,0
085992200638,0,,,0,,9.79,0,0,,9.79,Zanders,0
085992200652,0,,,0,,9.79,0,0,,9.79,Zanders,0
085992200645,0,,,0,,9.79,0,0,,9.79,Zanders,0
085992200669,0,,,0,,9.79,0,0,,9.79,Zanders,0
085992200676,0,,,0,,9.79,65,0,,9.79,Zanders,65
085992200690,0,,,0,,9.79,57,0,,9.79,Zanders,57
085992200683,0,,,0,,9.79,23,0,,9.79,Zanders,23
085992200850,0,,,0,,11.52,0,0,,11.52,Zanders,0
085992200867,0,,,0,,11.52,0,0,,11.52,Zanders,0
085992200706,0,,,0,,8.99,1539,0,,8.99,Zanders,1539
085992200713,0,,,0,,9.79,577,0,,9.79,Zanders,577
085992200737,0,,,0,,9.79,351,0,,9.79,Zanders,351
085992200720,0,,,0,,9.79,659,0,,9.79,Zanders,659
085992200508,0,,,0,,16.87,5,0,,16.87,Zanders,5
085992200607,0,,,0,,16.87,10,0,,16.87,Zanders,10
861643000181,0,,,0,,5.95,5,0,,5.95,Zanders,5
861643000198,0,,,0,,5.95,17,0,,5.95,Zanders,17
085992200775,0,,,0,,22.5,25,0,,22.5,Zanders,25
085992200782,0,,,0,,22.5,8,0,,22.5,Zanders,8
791331876425,0,,,0,,53.88,7,0,,53.88,Zanders,7
791331876357,0,,,0,,53.88,31,0,,53.88,Zanders,31
791331876289,0,,,0,,53.88,31,0,,53.88,Zanders,31
642014691180,0,,,0,,106.91,10,0,,106.91,Zanders,10
642014691173,0,,,0,,99.77,9,0,,99.77,Zanders,9
040232478031,0,,,0,,131.99,24,0,,131.99,Zanders,24
040232479380,0,,,0,,131.99,14,0,,131.99,Zanders,14
051497151515,0,,,0,,111.99,13,0,,111.99,Zanders,13
040232478048,0,,,0,,131.99,12,0,,131.99,Zanders,12
040232478055,0,,,0,,63.99,27,0,,63.99,Zanders,27
040232479397,0,,,0,,63.99,15,0,,63.99,Zanders,15
040232329951,0,,,0,,67.9,6,0,,67.9,Zanders,6
051497151522,0,,,0,,67.9,6,0,,67.9,Zanders,6
051497151539,0,,,0,,45.99,19,0,,45.99,Zanders,19
051497151508,0,,,0,,44.95,9,0,,44.95,Zanders,9
040232479373,0,,,0,,67.79,6,0,,67.79,Zanders,6
682146911664,0,,,0,,13.18,32,0,,13.18,Zanders,32
682146911671,0,,,0,,13.18,15,0,,13.18,Zanders,15
682146910711,0,,,0,,85.37,0,0,,85.37,Zanders,0
682146910773,0,,,0,,85.37,6,0,,85.37,Zanders,6
682146910834,0,,,0,,37.93,51,0,,37.93,Zanders,51
682146911435,0,,,0,,37.93,9,0,,37.93,Zanders,9
682146911329,0,,,0,,88.53,3,0,,88.53,Zanders,3
682146911350,0,,,0,,28.45,8,0,,28.45,Zanders,8
682146911343,0,,,0,,24.45,4,0,,24.45,Zanders,4
682146911473,0,,,0,,67.03,7,0,,67.03,Zanders,7
