upc,msrp,price1,available
810048570195,224.99,146.19,12
810048570065,779.99,434.99,3
810048570072,309.99,194.94,1
810048570225,294.99,186.81,2
810048570089,359.99,227.43,2
810048570096,429.99,268.05,4
810048570362,429.99,268.05,2
810048570102,484.99,308.66,0
810048570119,584.99,365.53,8
810048570126,224.99,146.19,7
810048570232,249.99,154.31,14
810048570133,259.99,162.44,11
810048570140,294.99,149.99,7
810048570249,284.99,178.69,0
810048570157,294.99,186.81,6
810048570171,259.99,162.44,5
810048570188,359.99,227.43,10
810048570201,259.99,162.44,28
810048570003,169.99,105.57,11
810048570010,194.99,121.81,16
810048570034,159.99,97.46,7
810048570041,194.99,121.81,28
021291010158,14.99,8.92,0
810048570164,374.99,235.55,5
810048570256,259.99,162.44,11
810048570737,130.49,81.64,0
850013143894,149.99,99.3,0
850013143818,249.99,156.46,2
850013143825,224.99,136.0,3
850013143764,479.99,291.87,0
850013143771,279.99,205.2,2
850013143788,229.99,152.24,1
850013143856,274.99,165.48,3
850013143870,299.99,186.55,1
850013143757,179.99,104.25,7
850013143665,274.99,166.09,0
850013143740,79.99,54.98,0
850013143931,314.99,184.25,2
850013143924,234.99,138.18,0
021291010219,19.99,12.6,0
021291010226,9.99,5.15,52
021291010233,9.99,5.15,28
707708301001,34.99,18.47,0
707708302008,45.99,25.19,0
707708303005,89.99,47.57,0
707708304002,145.99,78.36,0
021291010592,5.99,5.5,0
021291010714,1.49,1.11,0
723189010720,23.95,15.8,2
723189010768,23.95,15.8,4
021291011797,59.99,35.15,47
707708102004,8.79,4.96,0
707708102158,20.99,11.66,0
021291012329,14.99,9.29,78
021291012350,19.99,13.96,27
021291012374,7.99,4.97,152
707708002908,45.99,24.63,0
707708002915,32.99,18.22,0
707708002922,22.49,12.03,0
707708202971,10.49,5.83,0
810024611492,11.99,7.6,19
4046654098297,84.95,78.95,7
4046654098303,84.95,78.95,0
792695339359,64.99,35.97,2
792695306030,64.99,35.97,2
792695289951,64.99,35.97,0
792695307389,64.99,35.97,0
792695339373,64.99,35.97,3
792695289975,64.99,35.97,1
792695307402,64.99,35.97,1
850013143955,249.99,145.02,0
850013143962,324.99,195.57,3
850013143979,299.99,175.11,2
810048570713,224.99,149.0,1
810048570720,249.99,200.84,1
810048570621,35.99,19.85,2
850013143986,35.99,19.82,0
810048570690,224.99,149.0,2
810048570751,259.99,180.02,0
810048570768,314.99,242.64,0
810048570782,29.99,19.85,0
810048570805,449.99,328.87,0
810048570799,349.99,246.64,0
810048570836,999.99,683.08,0
810048570546,369.99,231.04,0
042958581316,199.99,151.09,11
042958620329,359.99,304.31,124
042958604886,459.99,399.99,69
810024611409,15.99,9.0,0
810024611416,15.99,9.0,0
810024611423,15.99,9.0,0
810024611430,15.99,9.0,0
810024611447,15.99,9.0,0
810024611454,15.99,9.0,4
810024611461,15.99,9.0,0
810024611478,15.99,9.0,0
810024611485,15.99,9.0,3
034337013808,47.98,27.89,0
707708100062,5.29,3.15,0
034337014010,47.98,27.89,6
707708210051,5.29,3.03,0
707708210068,22.99,12.82,0
707708210082,16.99,9.32,0
707708210129,22.99,12.82,1
707708210242,33.99,18.65,2
707708210280,11.49,6.41,0
707708210303,34.99,19.23,25
707708211409,18.99,10.5,15
707708212222,5.29,3.1,0
707708012334,7.99,4.55,0
707708212437,27.99,15.73,0
707708217272,31.45,17.48,50
707708217326,11.49,6.41,1
034337014072,47.98,27.89,15
034337014089,47.98,27.89,8
034337014133,47.98,27.89,0
034337014140,47.98,27.89,5
792695288107,110.99,61.43,1
792695330431,110.99,61.43,1
792695328988,110.99,61.43,2
792695348344,110.99,61.43,3
792695288046,110.99,61.43,2
792695316305,110.99,61.43,2
792695326076,110.99,61.43,1
4046654108279,84.95,76.95,5
4046654108286,84.95,76.95,2
4046654108293,84.95,76.95,0
707708005527,12.49,6.87,0
733073000010,7.49,4.62,0
707708006678,12.49,7.0,0
707708201059,31.79,16.77,0
707708101236,51.99,27.97,0
854777005672,18.99,8.89,4
707708201516,20.49,11.25,0
