I,Q,P,UPC
14331,0,696.0,736676051069
14332,0,696.0,736676051090
14333,0,696.0,736676051083
14501,17,439.0,022188868241
14502,0,439.0,022188868258
14520,25,1418.22,812526020543
14521,21,1515.85,812526020505
14522,25,1412.02,812526020475
14523,25,1515.85,812526020482
14524,0,1510.89,812526020499
14525,0,319.38,812526020369
14526,0,319.38,812526020932
14528,0,90.24,812526020444
14529,22,90.87,812526020642
14541,0,930.0,082442858883
14543,0,930.0,082442867793
14544,1,1000.0,082442859392
14546,2,1000.0,082442867809
14554,0,850.0,082442859323
14557,0,850.0,082442859330
14559,0,850.0,082442859255
14564,0,850.0,082442859439
14565,0,780.0,082442858937
14566,0,780.0,082442858807
14570,0,780.0,082442858852
14571,0,780.0,082442858869
14577,0,780.0,082442859194
14578,11,780.0,082442859101
14581,0,810.0,082442859668
14584,0,810.0,082442859583
14585,0,810.0,082442859576
14587,0,810.0,082442859552
14589,0,810.0,082442859712
14590,0,810.0,082442859682
14594,0,810.0,082442859828
14595,0,950.0,082442859866
14596,0,950.0,082442859743
14599,0,950.0,082442859774
14628,0,950.0,082442859729
14634,25,587.0,015813851107
14644,5,587.0,015813852326
14660,25,360.0,015813542104
14664,0,360.0,015813571104
14665,0,360.0,015813571203
14666,0,950.0,082442859750
14737,0,950.0,082442859835
14739,0,950.0,082442859804
14846,0,908.54,023614250029
14848,0,908.54,023614250043
14855,0,949.42,023614249979
14856,0,949.42,023614249986
14858,0,949.42,023614250005
14869,2,950.0,082442859781
14902,25,527.0,798681306701
14995,0,950.0,082442859620
14996,0,950.0,082442859569
15001,0,950.0,082442859880
15002,0,950.0,082442859873
15005,25,720.0,082442858982
15006,0,720.0,082442858876
15008,25,720.0,082442858814
15010,25,720.0,082442858821
15013,0,720.0,082442859026
15014,0,720.0,082442858906
15015,25,720.0,082442858975
15018,25,720.0,082442858890
15019,0,720.0,082442859545
15027,0,770.0,082442859415
15028,2,770.0,082442859019
15029,16,770.0,082442859378
15049,7,770.0,082442859248
15070,0,1268.0,022188634600
15071,0,1268.0,022188635010
15075,22,615.0,022188630527
15091,0,1506.0,022188702316
15105,0,770.0,082442859514
15108,0,770.0,082442859279
15109,0,770.0,082442859293
15114,5,650.0,082442858838
15140,0,650.0,082442858760
15169,18,650.0,082442858784
15170,23,650.0,082442858777
15194,0,650.0,082442859163
15204,0,243.18,640832000450
15206,25,650.0,082442859064
15207,25,650.0,082442858968
15209,25,650.0,082442858944
15213,25,383.0,640832004182
15228,25,362.0,640832004090
15232,0,504.55,640832000795
15300,14,650.0,082442859767
15301,8,650.0,082442859217
15302,0,650.0,082442859361
15304,25,650.0,082442858920
15305,5,650.0,082442858913
15307,25,650.0,082442859071
15308,0,800.0,082442859538
15309,0,800.0,082442859477
15360,12,679.0,642230261563
15361,8,679.0,642230261570
15362,9,679.0,642230261440
15363,3,679.0,642230261457
15366,0,2039.0,642230261587
15368,0,1209.0,642230261471
15374,0,899.0,642230261464
15379,0,899.0,642230261426
15381,0,859.0,642230261402
15384,2,899.0,642230261525
15385,0,859.0,642230261495
15387,0,1249.0,642230261112
15558,0,148.27,727962500132
15559,25,161.07,727962500361
16017,0,950.0,082442859859
16091,0,590.91,640832000832
16142,0,774.2,602686067218
16276,0,510.7,682146348309
16277,0,527.12,682146348422
16509,25,455.0,764503385025
16514,25,455.0,764503395024
17113,0,383.52,619835011008
17251,0,394.61,725327602118
17252,0,434.92,725327602125
17253,0,397.79,725327600954
17254,0,434.92,725327600978
17286,0,597.33,725327601036
17305,25,483.0,798681553372
17685,0,438.43,023614250951
17695,5,438.43,023614250968
17696,0,479.31,023614250975
17742,0,590.91,640832000856
17863,0,1020.0,098289111159
17938,0,1208.79,869481000172
18130,0,463.74,619835010001
18153,9,540.0,082442817293
18154,25,540.0,082442817286
18155,25,540.0,082442818191
18156,25,540.0,082442818207
18442,13,344.09,602686047319
18791,25,1720.0,815604019248
18792,0,1803.0,815604019385
18876,0,208.24,744253001550
18877,0,208.24,744253001543
18878,0,198.23,744253001529
18988,0,496.7,619835012005
19123,0,1531.0,022188702620
19161,0,849.0,098289111203
19162,0,849.0,098289111180
19163,0,849.0,098289111197
19164,0,298.3,048702007316
19663,25,401.0,022188867244
19664,25,401.0,022188868135
19720,0,556.0,736676211524
19721,0,1073.0,736676471706
19739,0,1073.0,736676471669
19741,0,899.0,736676058044
19772,25,389.0,082442736372
19773,25,389.0,082442736365
19847,25,555.0,736676211555
19853,25,362.0,022188868432
20113,5,1992.31,855148002573
20114,0,2118.68,855148002580
20115,3,1992.31,855148002610
20116,7,2118.68,855148002627
20117,0,2203.3,854026005439
20119,5,2330.95,854026005453
20120,25,1397.8,860942000229
20121,0,2330.77,859890005288
20149,0,1179.27,810083266541
20175,0,718.67,747115427383
20195,23,467.23,784672476874
20252,0,826.0,736676067220
20356,0,1499.29,815648022150
20400,25,86.06,815648021757
20401,0,86.06,815648021764
20402,25,86.06,815648021771
21092,0,514.0,015813853224
21165,0,612.16,023614252733
21171,5,520.19,023614251552
21277,25,369.0,736676086085
21285,0,457.0,736676086184
21286,0,457.0,736676086382
21636,25,679.54,806703011943
21803,18,725.0,848037045331
21804,0,365.0,764503225093
21807,0,365.0,764503235092
21808,0,376.0,764503992254
21810,0,382.0,764503047886
